College_Name,URL_CtP
Applied Technology Services,https://ChangingThePresent.org/collections/Applied-Technology-Services
Aquinas College,https://ChangingThePresent.org/collections/Aquinas-College
Aquinas College,https://ChangingThePresent.org/collections/Aquinas-College
Aquinas Institute of Theology,https://ChangingThePresent.org/collections/Aquinas-Institute-Of-Theology
Arapahoe Community College,https://ChangingThePresent.org/collections/Arapahoe-Community-College
Arcadia University,https://ChangingThePresent.org/collections/Arcadia-University
Aria Health School of Nursing,https://ChangingThePresent.org/collections/Aria-Health-School-Of-Nursing
Arizona Christian University,https://ChangingThePresent.org/collections/Arizona-Christian-University
Arizona State University-Downtown Phoenix,https://ChangingThePresent.org/collections/Arizona-State-University-Downtown-Phoenix
Arizona State University-Polytechnic,https://ChangingThePresent.org/collections/Arizona-State-University-Polytechnic
Arizona State University-Skysong,https://ChangingThePresent.org/collections/Arizona-State-University-Skysong
Arizona State University-Tempe,https://ChangingThePresent.org/collections/Arizona-State-University-Tempe
Arizona State University-West,https://ChangingThePresent.org/collections/Arizona-State-University-West
Arizona Western College,https://ChangingThePresent.org/collections/Arizona-Western-College
Arkansas Baptist College,https://ChangingThePresent.org/collections/Arkansas-Baptist-College
Arkansas Northeastern College,https://ChangingThePresent.org/collections/Arkansas-Northeastern-College
Arkansas State University-Beebe,https://ChangingThePresent.org/collections/Arkansas-State-University-Beebe
Arkansas State University-Main Campus,https://ChangingThePresent.org/collections/Arkansas-State-University-Main-Campus
Arkansas State University-Mountain Home,https://ChangingThePresent.org/collections/Arkansas-State-University-Mountain-Home
Arkansas State University-Newport,https://ChangingThePresent.org/collections/Arkansas-State-University-Newport
Arkansas Tech University,https://ChangingThePresent.org/collections/Arkansas-Tech-University
Arlington Baptist College,https://ChangingThePresent.org/collections/Arlington-Baptist-College
Armstrong State University,https://ChangingThePresent.org/collections/Armstrong-State-University
Arnot Ogden Medical Center,https://ChangingThePresent.org/collections/Arnot-Ogden-Medical-Center
Art Academy of Cincinnati,https://ChangingThePresent.org/collections/Art-Academy-Of-Cincinnati
Art Center College of Design,https://ChangingThePresent.org/collections/Art-Center-College-Of-Design
Asbury Theological Seminary,https://ChangingThePresent.org/collections/Asbury-Theological-Seminary
Asbury University,https://ChangingThePresent.org/collections/Asbury-University
Asheville-Buncombe Technical Community College,https://ChangingThePresent.org/collections/Asheville-Buncombe-Technical-Community-College
Ashland Community and Technical College,https://ChangingThePresent.org/collections/Ashland-Community-And-Technical-College
Ashland County-West Holmes Career Center,https://ChangingThePresent.org/collections/Ashland-County-West-Holmes-Career-Center
Ashland University,https://ChangingThePresent.org/collections/Ashland-University
Ashtabula County Technical and Career Campus,https://ChangingThePresent.org/collections/Ashtabula-County-Technical-And-Career-Campus
Asnuntuck Community College,https://ChangingThePresent.org/collections/Asnuntuck-Community-College
Assabet Valley Regional Technical School,https://ChangingThePresent.org/collections/Assabet-Valley-Regional-Technical-School
Assemblies of God Theological Seminary,https://ChangingThePresent.org/collections/Assemblies-Of-God-Theological-Seminary
Associated Beth Rivkah Schools,https://ChangingThePresent.org/collections/Associated-Beth-Rivkah-Schools
Assumption College,https://ChangingThePresent.org/collections/Assumption-College
Assumption College for Sisters,https://ChangingThePresent.org/collections/Assumption-College-For-Sisters
Athenaeum of Ohio,https://ChangingThePresent.org/collections/Athenaeum-Of-Ohio
Athens State University,https://ChangingThePresent.org/collections/Athens-State-University
Athens Technical College,https://ChangingThePresent.org/collections/Athens-Technical-College
Atlanta Metropolitan State College,https://ChangingThePresent.org/collections/Atlanta-Metropolitan-State-College
Atlanta Technical College,https://ChangingThePresent.org/collections/Atlanta-Technical-College
Atlantic Cape Community College,https://ChangingThePresent.org/collections/Atlantic-Cape-Community-College
Atlantic Institute of Oriental Medicine,https://ChangingThePresent.org/collections/Atlantic-Institute-Of-Oriental-Medicine
Atlantic Technical College,https://ChangingThePresent.org/collections/Atlantic-Technical-College
Auburn Career Center,https://ChangingThePresent.org/collections/Auburn-Career-Center
Auburn University,https://ChangingThePresent.org/collections/Auburn-University
Auburn University at Montgomery,https://ChangingThePresent.org/collections/Auburn-University-At-Montgomery
Augsburg College,https://ChangingThePresent.org/collections/Augsburg-College
Augusta Area Dietetic Internship-University Hospital,https://ChangingThePresent.org/collections/Augusta-Area-Dietetic-Internship-University-Hospital
Augusta Technical College,https://ChangingThePresent.org/collections/Augusta-Technical-College
Augustana College,https://ChangingThePresent.org/collections/Augustana-College
Augustana College,https://ChangingThePresent.org/collections/Augustana-College
Aultman College of Nursing and Health Sciences,https://ChangingThePresent.org/collections/Aultman-College-Of-Nursing-And-Health-Sciences
Aurora University,https://ChangingThePresent.org/collections/Aurora-University
Austin College,https://ChangingThePresent.org/collections/Austin-College
Austin Community College District,https://ChangingThePresent.org/collections/Austin-Community-College-District
Austin Graduate School of Theology,https://ChangingThePresent.org/collections/Austin-Graduate-School-Of-Theology
Austin Peay State University,https://ChangingThePresent.org/collections/Austin-Peay-State-University
Austin Presbyterian Theological Seminary,https://ChangingThePresent.org/collections/Austin-Presbyterian-Theological-Seminary
Autry Technology Center,https://ChangingThePresent.org/collections/Autry-Technology-Center
Ave Maria School of Law,https://ChangingThePresent.org/collections/Ave-Maria-School-Of-Law
Ave Maria University,https://ChangingThePresent.org/collections/Ave-Maria-University
Avera McKennan Hospital School of Radiologic Technology,https://ChangingThePresent.org/collections/Avera-Mckennan-Hospital-School-Of-Radiologic-Technology
Avera Sacred Heart Hospital,https://ChangingThePresent.org/collections/Avera-Sacred-Heart-Hospital
Averett University,https://ChangingThePresent.org/collections/Averett-University
Averett University-Non-Traditional Programs,https://ChangingThePresent.org/collections/Averett-University-Non-Traditional-Programs
Avila University,https://ChangingThePresent.org/collections/Avila-University
AVTEC-Alaska's Institute of Technology,https://ChangingThePresent.org/collections/Avtec-Alaska-S-Institute-Of-Technology
Azusa Pacific University,https://ChangingThePresent.org/collections/Azusa-Pacific-University
Azusa Pacific University College,https://ChangingThePresent.org/collections/Azusa-Pacific-University-College
B M Spurr School of Practical Nursing,https://ChangingThePresent.org/collections/B-M-Spurr-School-Of-Practical-Nursing
Babson College,https://ChangingThePresent.org/collections/Babson-College
Bacone College,https://ChangingThePresent.org/collections/Bacone-College
Bainbridge State College,https://ChangingThePresent.org/collections/Bainbridge-State-College
Bais Binyomin Academy,https://ChangingThePresent.org/collections/Bais-Binyomin-Academy
Bais HaMedrash and Mesivta of Baltimore,https://ChangingThePresent.org/collections/Bais-Hamedrash-And-Mesivta-Of-Baltimore
Bais Medrash Elyon,https://ChangingThePresent.org/collections/Bais-Medrash-Elyon
Bais Medrash Toras Chesed,https://ChangingThePresent.org/collections/Bais-Medrash-Toras-Chesed
Baker College Center for Graduate Studies,https://ChangingThePresent.org/collections/Baker-College-Center-For-Graduate-Studies
Baker College of Allen Park,https://ChangingThePresent.org/collections/Baker-College-Of-Allen-Park
Baker College of Auburn Hills,https://ChangingThePresent.org/collections/Baker-College-Of-Auburn-Hills
Baker College of Cadillac,https://ChangingThePresent.org/collections/Baker-College-Of-Cadillac
Baker College of Clinton Township,https://ChangingThePresent.org/collections/Baker-College-Of-Clinton-Township
Baker College of Flint,https://ChangingThePresent.org/collections/Baker-College-Of-Flint
Baker College of Jackson,https://ChangingThePresent.org/collections/Baker-College-Of-Jackson
Baker College of Muskegon,https://ChangingThePresent.org/collections/Baker-College-Of-Muskegon
Baker College of Owosso,https://ChangingThePresent.org/collections/Baker-College-Of-Owosso
Baker College of Port Huron,https://ChangingThePresent.org/collections/Baker-College-Of-Port-Huron
Baker University,https://ChangingThePresent.org/collections/Baker-University
Bakersfield College,https://ChangingThePresent.org/collections/Bakersfield-College
Bakke Graduate University,https://ChangingThePresent.org/collections/Bakke-Graduate-University
Baldwin Park Adult & Community Education,https://ChangingThePresent.org/collections/Baldwin-Park-Adult-&-Community-Education
Baldwin Wallace University,https://ChangingThePresent.org/collections/Baldwin-Wallace-University
Ball State University,https://ChangingThePresent.org/collections/Ball-State-University
Baltimore City Community College,https://ChangingThePresent.org/collections/Baltimore-City-Community-College
Bank Street College of Education,https://ChangingThePresent.org/collections/Bank-Street-College-Of-Education
Baptist Bible College,https://ChangingThePresent.org/collections/Baptist-Bible-College
Baptist Bible College & Seminary of Pennsylvania,https://ChangingThePresent.org/collections/Baptist-Bible-College-&-Seminary-Of-Pennsylvania
Baptist Health Schools-Little Rock,https://ChangingThePresent.org/collections/Baptist-Health-Schools-Little-Rock
Baptist Memorial College of Health Sciences,https://ChangingThePresent.org/collections/Baptist-Memorial-College-Of-Health-Sciences
Baptist Missionary Association Theological Seminary,https://ChangingThePresent.org/collections/Baptist-Missionary-Association-Theological-Seminary
Baptist Theological Seminary at Richmond,https://ChangingThePresent.org/collections/Baptist-Theological-Seminary-At-Richmond
